"Date","Price","Open","High","Low","Vol.","Change %"
"03/12/2023","9,805","9,805","9,805","9,805","","0.00%"
"03/10/2023","9,805","9,800","9,850","9,795","712.04K","-1.70%"
"03/09/2023","9,975","9,980","10,000","9,935","497.15K","0.25%"
"03/08/2023","9,950","9,900","9,970","9,880","532.49K","0.10%"
"03/07/2023","9,940","9,900","9,975","9,885","434.63K","0.45%"
"03/06/2023","9,895","9,780","9,920","9,780","670.66K","2.97%"
"03/03/2023","9,610","9,640","9,680","9,570","349.50K","0.21%"
"03/02/2023","9,590","9,790","9,790","9,550","629.60K","-2.74%"
"03/01/2023","9,860","9,860","9,860","9,860","","0.00%"
"02/28/2023","9,860","9,800","9,860","9,780","245.24K","0.92%"
"02/27/2023","9,770","9,655","9,770","9,655","419.43K","0.00%"
"02/26/2023","9,770","9,770","9,770","9,770","","0.00%"
"02/24/2023","9,770","9,770","9,770","9,730","251.72K","0.31%"
"02/23/2023","9,740","9,720","9,795","9,720","438.76K","0.62%"
"02/22/2023","9,680","9,630","9,680","9,630","542.29K","-1.53%"
"02/21/2023","9,830","9,880","9,880","9,820","306.37K","-0.51%"
"02/20/2023","9,880","9,805","9,880","9,805","379.65K","0.00%"
"02/19/2023","9,880","9,880","9,880","9,880","","0.00%"
"02/17/2023","9,880","9,800","9,920","9,800","582.00K","-2.08%"
"02/16/2023","10,090","10,020","10,100","10,015","806.04K","2.23%"
"02/15/2023","9,870","9,850","9,930","9,845","601.86K","1.08%"
"02/14/2023","9,765","9,770","9,790","9,725","419.96K","1.30%"
"02/13/2023","9,640","9,620","9,640","9,550","402.79K","-0.41%"
"02/12/2023","9,680","9,680","9,680","9,680","","0.00%"
"02/10/2023","9,680","9,775","9,775","9,650","773.48K","-1.88%"
"02/09/2023","9,865","9,925","9,925","9,800","710.47K","-1.50%"
"02/08/2023","10,015","9,910","10,025","9,910","963.30K","2.67%"
"02/07/2023","9,755","9,700","9,770","9,700","819.30K","0.88%"
"02/06/2023","9,670","9,615","9,695","9,615","1.02M","1.26%"
"02/05/2023","9,550","9,550","9,550","9,550","","0.00%"
"02/03/2023","9,550","9,590","9,595","9,510","1.27M","1.60%"
"02/02/2023","9,400","9,335","9,410","9,310","774.78K","4.21%"
"02/01/2023","9,020","8,970","9,025","8,970","394.39K","1.63%"
"01/31/2023","8,875","8,900","8,940","8,855","539.13K","-1.93%"
"01/30/2023","9,050","9,050","9,105","9,025","814.92K","1.97%"
"01/27/2023","8,875","8,835","8,900","8,835","777.70K","1.25%"
"01/26/2023","8,765","8,705","8,805","8,705","721.17K","1.10%"
"01/25/2023","8,670","8,620","8,710","8,620","743.03K","3.46%"
"01/20/2023","8,380","8,280","8,380","8,220","310.62K","0.84%"
"01/19/2023","8,310","8,370","8,375","8,310","0.01K","-2.29%"
"01/18/2023","8,505","8,390","8,520","8,390","0.01K","1.73%"
"01/17/2023","8,360","8,390","8,430","8,355","469.42K","-0.59%"
"01/16/2023","8,410","8,395","8,420","8,370","0.00K","0.72%"
